"family","genus","species","taxon","habitat","feeding.mode","tl","offspring.size","spawning.type","age.maturity","fecundity","length.infinity","growth.coefficient","length.max","age.max"
"Agonidae","Agonopsis","vulsa","Agonopsis vulsa","demersal","generalist",3.24,1.87,"non-guarder",4.7,1873,19,0.46,20,7
"Agonidae","Agonus","cataphractus","Agonus cataphractus","demersal","benthivorous",3.43,2,"non-guarder",3,2550,15,0.47,21,1
"Agonidae","Aspidophoroides","monopterygius","Aspidophoroides monopterygius","demersal","benthivorous",3,1.87,"non-guarder",4.7,1873,16,0.23,20,7
"Agonidae","Aspidophoroides","olrikii","Aspidophoroides olrikii","demersal","benthivorous",3.25,1.87,"non-guarder",4.7,1873,16,0.23,9,7
"Agonidae","Bathyagonus","nigripinnis","Bathyagonus nigripinnis","demersal","benthivorous",3.24,1.87,"non-guarder",4.7,1873,16,0.33,24,9
"Agonidae","Bathyagonus","","Bathyagonus","demersal","benthivorous",3.24,1.87,"non-guarder",4.7,1873,19,0.46,18,9
"Agonidae","Hypsagonus","quadricornis","Hypsagonus quadricornis","demersal","benthivorous",3.24,1.87,"non-guarder",4.7,1873,16,0.33,12,7
"Agonidae","Leptagonus","decagonus","Leptagonus decagonus","demersal","generalist",3.21,2,"non-guarder",3,1197,15,0.47,21,11
"Agonidae","Leptagonus","","Leptagonus","demersal","generalist",3.21,2,"non-guarder",3,1197,16,0.33,19,11
"Agonidae","Occella","dodecaedron","Occella dodecaedron","demersal","planktivorous",3.24,1.87,"non-guarder",4.7,1873,16,0.33,22,7
"Agonidae","Odontopyxis","trispinosa","Odontopyxis trispinosa","demersal","planktivorous",3.17,1.87,"non-guarder",4.7,1873,16,0.33,10,7
"Agonidae","Percis","japonica","Percis japonica","bathydemersal","benthivorous",3.08,1.87,"non-guarder",4.7,1873,16,0.33,42,7
"Agonidae","Podothecus","accipenserinus","Podothecus accipenserinus","demersal","benthivorous",3.36,1.73,"non-guarder",4.7,1873,16,0.33,31,7
"Agonidae","Sarritor","frenatus","Sarritor frenatus","demersal","generalist",3.29,1.87,"non-guarder",4.7,1873,16,0.33,27,7
"Agonidae","Sarritor","leptorhynchus","Sarritor leptorhynchus","bathydemersal","benthivorous",3.29,1.87,"non-guarder",4.7,1873,19,0.46,25,7
"Agonidae","","","Agonidae","demersal","",3.24,1.87,"non-guarder",4.7,1873,15,0.47,26,7
"Alepisauridae","Alepisaurus","ferox","Alepisaurus ferox","bathypelagic","generalist",4.03,NA,"non-guarder",NA,NA,NA,NA,72,NA
"Alepocephalidae","Alepocephalus","bairdii","Alepocephalus bairdii","bathydemersal","generalist",3.69,2.7,"non-guarder",NA,3754,51,0.13,93,38
"Alepocephalidae","Xenodermichthys","copei","Xenodermichthys copei","bathypelagic","generalist",3.19,2.7,"non-guarder",NA,3754,51,0.13,31,26
"Alepocephalidae","","","Alepocephalidae","bathydemersal","generalist",3.67,2.7,"non-guarder",NA,3754,51,0.13,45,30.5
"Ammodytidae","Ammodytes","hexapterus","Ammodytes hexapterus","benthopelagic","planktivorous",3.13,0.94,"non-guarder",2.5,10630,20,0.5,30,11
"Ammodytidae","Ammodytes","marinus","Ammodytes marinus","benthopelagic","planktivorous",2.71,1.03,"non-guarder",3.2,13133,25,0.16,21,10
"Ammodytidae","Ammodytes","tobianus","Ammodytes tobianus","demersal","planktivorous",3.08,0.85,"non-guarder",1.5,13133,20,0.65,20,7
"Ammodytidae","Ammodytes","","Ammodytes","benthopelagic","planktivorous",3.15,0.94,"non-guarder",3.2,12450,19,0.55,23,7.7
"Ammodytidae","Gymnammodytes","semisquamatus","Gymnammodytes semisquamatus","demersal","planktivorous",2.68,0.94,"non-guarder",3.2,13133,19,0.38,30,9.5
"Ammodytidae","Hyperoplus","immaculatus","Hyperoplus immaculatus","demersal","piscivorous",4.38,0.94,"non-guarder",2,13133,30,0.4,35,9.5
"Ammodytidae","Hyperoplus","lanceolatus","Hyperoplus lanceolatus","demersal","generalist",3.98,0.94,"non-guarder",2,13133,30,0.4,40,9.5
"Ammodytidae","Hyperoplus","","Hyperoplus","demersal","generalist",3.98,0.94,"non-guarder",2,12450,30,0.4,38,9.5
"Ammodytidae","","","Ammodytidae","demersal","generalist",3.32,0.94,"non-guarder",3.2,12450,20,0.53,23,9.5
"Anarhichadidae","Anarhichas","denticulatus","Anarhichas denticulatus","benthopelagic","generalist",3.75,6,"guarder",6,46500,162,0.08,162,16
"Anarhichadidae","Anarhichas","lupus","Anarhichas lupus","demersal","benthivorous",3.55,6,"guarder",9,12740,104,0.12,104,20
"Anarhichadidae","Anarhichas","minor","Anarhichas minor","demersal","benthivorous",3.62,3.35,"guarder",7,19700,153,0.1,180,40
"Anarhichadidae","","","Anarhichadidae","demersal","",3.68,4.68,"",8,19700,144,0.08,165,31
"Anguillidae","Anguilla","anguilla","Anguilla anguilla","demersal","generalist",3.55,1.14,"non-guarder",11,2500000,93,0.1,145,23
"Anguillidae","Anguilla","","Anguilla","demersal","generalist",4.03,1.14,"non-guarder",11,7176000,93,0.1,66,33
"Anoplopomatidae","Anoplopoma","fimbria","Anoplopoma fimbria","bathydemersal","generalist",3.84,2.9,"non-guarder",5.3,550000,78,0.2,120,94
"Argentinidae","Argentina","silus","Argentina silus","bathydemersal","generalist",3.32,3.25,"non-guarder",8,10000,45,0.16,70,35
"Argentinidae","Argentina","sphyraena","Argentina sphyraena","bathydemersal","generalist",3.62,1.72,"non-guarder",2.5,10000,22,0.28,27,16
"Argentinidae","","","Argentinidae","bathydemersal","generalist",3.32,1.72,"non-guarder",6.4,10000,45,0.16,22,25.5
"Arhynchobatidae","Bathyraja","abyssicola","Bathyraja abyssicola","bathydemersal","generalist",4.3,105.8,"non-guarder",8,11,90,0.08,157,20
"Arhynchobatidae","Bathyraja","aleutica","Bathyraja aleutica","bathydemersal","generalist",4.14,124,"non-guarder",8,14,90,0.08,161,20
"Arhynchobatidae","Bathyraja","brachyurops","Bathyraja brachyurops","bathydemersal","generalist",4.07,97.75,"non-guarder",8,11,90,0.08,64,24.7
"Arhynchobatidae","Bathyraja","interrupta","Bathyraja interrupta","bathydemersal","generalist",3.44,78.5,"non-guarder",8,11,56,0.21,64,20
"Arhynchobatidae","Bathyraja","lindbergi","Bathyraja lindbergi","demersal","generalist",4.3,77.5,"non-guarder",8,11,90,0.08,93,32
"Arhynchobatidae","Bathyraja","maculata","Bathyraja maculata","bathydemersal","generalist",4.05,94.5,"non-guarder",8,11,90,0.08,146,32
"Arhynchobatidae","Bathyraja","mariposa","Bathyraja mariposa","benthopelagic","generalist",4.3,97.75,"non-guarder",8,11,90,0.08,76,20
"Arhynchobatidae","Bathyraja","minispinosa","Bathyraja minispinosa","demersal","generalist",3.84,76,"non-guarder",8,11,147,0.02,83,37
"Arhynchobatidae","Bathyraja","panthera","Bathyraja panthera","demersal","generalist",4.3,97.75,"non-guarder",8,11,90,0.08,111,27.4
"Arhynchobatidae","Bathyraja","parmifera","Bathyraja parmifera","demersal","generalist",4.19,122.5,"non-guarder",8,11,90,0.08,107,19
"Arhynchobatidae","Bathyraja","smirnovi","Bathyraja smirnovi","demersal","generalist",4.3,97.75,"non-guarder",8,11,90,0.08,102,20
"Arhynchobatidae","Bathyraja","spinicauda","Bathyraja spinicauda","bathydemersal","generalist",4.41,97.75,"non-guarder",8,11,90,0.08,172,27.4
"Arhynchobatidae","Bathyraja","taranetzi","Bathyraja taranetzi","bathydemersal","generalist",4.3,71.5,"non-guarder",8,9,90,0.08,77,14
"Arhynchobatidae","Bathyraja","trachura","Bathyraja trachura","bathydemersal","generalist",4.3,62,"non-guarder",8,11,101,0.09,91,20
"Arhynchobatidae","Bathyraja","violacea","Bathyraja violacea","demersal","generalist",3.49,97.75,"non-guarder",8,11,90,0.08,102,27.4
"Arhynchobatidae","Bathyraja","","Bathyraja","bathydemersal","generalist",4.3,97.75,"non-guarder",8,11,90,0.08,100,27.4
"Atherinidae","Atherina","presbyter","Atherina presbyter","pelagic","planktivorous",3.67,1.87,"non-guarder",1,1500,15,0.7,14,4
"Balistidae","Balistes","capriscus","Balistes capriscus","reef-associated","benthivorous",4.06,0.45,"guarder",1,86750,44,0.32,60,15
"Balistidae","Balistes","","Balistes","reef-associated","benthivorous",3.94,0.45,"guarder",1,86750,52,0.25,51,15
"Bathylagidae","Bathylagus","pacificus","Bathylagus pacificus","bathydemersal","generalist",3.27,1.5,"non-guarder",NA,3492,27,0.14,25,5
"Bathylagidae","Bathylagus","","Bathylagus","bathydemersal","generalist",3.24,1.75,"non-guarder",NA,3492,27,0.14,21,5
"Bathylagidae","Leuroglossus","schmidti","Leuroglossus schmidti","bathypelagic","planktivorous",3.12,1.77,"non-guarder",NA,300,27,0.14,20,5
"Bathylagidae","Leuroglossus","stilbius","Leuroglossus stilbius","bathypelagic","generalist",3.26,1.1,"non-guarder",NA,300,27,0.14,12,5
"Bathylagidae","Pseudobathylagus","milleri","Pseudobathylagus milleri","bathypelagic","planktivorous",4.22,1.34,"non-guarder",NA,1896,27,0.14,17,5
"Bathymasteridae","Bathymaster","caeruleofasciatus","Bathymaster caeruleofasciatus","demersal","benthivorous",3.76,0.35,"guarder",NA,90351,NA,NA,30,8.3
"Bathymasteridae","Bathymaster","leurolepis","Bathymaster leurolepis","demersal","benthivorous",3.76,0.35,"guarder",NA,90351,NA,NA,21,8.3
"Bathymasteridae","Bathymaster","signatus","Bathymaster signatus","demersal","benthivorous",3.76,0.35,"guarder",NA,90351,NA,NA,36,9
"Bathymasteridae","Ronquilus","jordani","Ronquilus jordani","demersal","generalist",3.13,0.35,"guarder",NA,90351,NA,NA,20,8.3
"Belonidae","Belone","belone","Belone belone","pelagic","piscivorous",4.16,3.1,"non-guarder",2,18000,58,0.23,93,11
"Berycidae","Beryx","decadactylus","Beryx decadactylus","bathydemersal","generalist",4.13,1.08,"non-guarder",6.1,472500,55,0.13,52,13
"Berycidae","Beryx","splendens","Beryx splendens","benthopelagic","generalist",4.27,1.08,"non-guarder",6.1,472500,46,0.17,43,23
"Blenniidae","Blennius","ocellaris","Blennius ocellaris","demersal","benthivorous",3.49,1.16,"guarder",2.5,500,15,0.42,17,6.4
"Blenniidae","Parablennius","gattorugine","Parablennius gattorugine","demersal","benthivorous",3.59,1.24,"guarder",1,500,13,0.62,30,6.4
"Blenniidae","","","Blenniidae","reef-associated","benthivorous",2.85,1.24,"guarder",1.8,500,15,0.42,16,6
"Bothidae","Arnoglossus","imperialis","Arnoglossus imperialis","demersal","benthivorous",3.84,0.75,"non-guarder",1.5,50000,18,0.51,19,7
"Bothidae","Arnoglossus","laterna","Arnoglossus laterna","demersal","benthivorous",3.59,0.68,"non-guarder",1.5,50000,17,0.25,17,8
"Bothidae","Arnoglossus","rueppelii","Arnoglossus rueppelii","demersal","benthivorous",4.03,0.7,"non-guarder",1.5,50000,18,0.51,15,7
"Bothidae","Arnoglossus","thori","Arnoglossus thori","demersal","benthivorous",3.28,0.72,"non-guarder",1.5,50000,18,0.51,21,10
"Bothidae","Arnoglossus","","Arnoglossus","demersal","benthivorous",3.44,0.7,"non-guarder",1.5,50000,18,0.51,19,8.8
"Bramidae","Brama","brama","Brama brama","bathypelagic","generalist",4.08,1.6,"non-guarder",4,NA,71,0.08,100,9
"Bramidae","Pterycombus","brama","Pterycombus brama","pelagic","generalist",4.4,1.6,"non-guarder",4,NA,71,0.08,46,10
"Bythitidae","Cataetyx","alleni","Cataetyx alleni","bathydemersal","benthivorous",3.39,1,"bearer",NA,105,10,0.94,12,NA
"Callanthiidae","Callanthias","ruber","Callanthias ruber","demersal","generalist",3.8,NA,"non-guarder",NA,NA,NA,NA,60,NA
"Callionymidae","Callionymus","lyra","Callionymus lyra","demersal","benthivorous",3.27,0.9,"non-guarder",2.5,5000,21,0.47,30,7
"Callionymidae","Callionymus","maculatus","Callionymus maculatus","demersal","benthivorous",3.31,0.7,"non-guarder",4,5000,21,0.47,13,1
"Callionymidae","Callionymus","reticulatus","Callionymus reticulatus","demersal","benthivorous",3.28,0.8,"non-guarder",3.3,5000,21,0.47,11,5
"Callionymidae","Callionymus","","Callionymus","demersal","benthivorous",3.17,0.81,"non-guarder",3.3,5000,21,0.47,22,5
"Callionymidae","Synchiropus","phaeton","Synchiropus phaeton","demersal","benthivorous",3.38,0.83,"non-guarder",3.3,5000,21,0.47,18,5
"Callionymidae","","","Callionymidae","demersal","benthivorous",3.17,0.83,"non-guarder",3.3,5000,21,0.47,22,5
"Caproidae","Capros","aper","Capros aper","demersal","generalist",3.14,0.4,"non-guarder",3.3,NA,13,0.25,18,26
"Carangidae","Caranx","rhonchus","Caranx rhonchus","reef-associated","generalist",4.06,3.5,"non-guarder",2.7,846750,44,0.18,60,11
"Carangidae","Naucrates","ductor","Naucrates ductor","reef-associated","planktivorous",3.98,1.14,"non-guarder",2.7,719669,42,2.35,34,19.8
"Carangidae","Trachurus","mediterraneus","Trachurus mediterraneus","pelagic","generalist",3.77,0.9,"non-guarder",1.4,257524,34,0.31,26,12
"Carangidae","Trachurus","picturatus","Trachurus picturatus","pelagic","generalist",3.32,0.9,"non-guarder",3.5,276449,47,0.17,60,18
"Carangidae","Trachurus","trachurus","Trachurus trachurus","pelagic","generalist",3.71,0.9,"non-guarder",2.6,263139,44,0.18,41,40
"Carapidae","Echiodon","dentatus","Echiodon dentatus","demersal","generalist",4.03,1.28,"non-guarder",NA,NA,NA,NA,17,NA
"Carapidae","Echiodon","drummondii","Echiodon drummondii","bathydemersal","generalist",4.03,1.28,"non-guarder",NA,NA,NA,NA,30,NA
"Centracanthidae","Spicara","maena","Spicara maena","benthopelagic","planktivorous",4.15,1.8,"non-guarder",2,61325,20,0.25,16,5
"Centracanthidae","Spicara","smaris","Spicara smaris","benthopelagic","planktivorous",3,1.8,"guarder",2,61325,21,0.37,21,5.5
"Centriscidae","Macroramphosus","scolopax","Macroramphosus scolopax","demersal","benthivorous",3.47,1,"non-guarder",NA,NA,18,0.4,23,6
"Centriscidae","Macroramphosus","","Macroramphosus","benthopelagic","benthivorous",3.47,1,"non-guarder",NA,NA,15,0.55,19,6
"Centriscidae","Macrorhamphosus","scolopax","Macrorhamphosus scolopax","pelagic","benthivorous",3.4,1,"non-guarder",NA,NA,15,0.55,19,6
"Centrolophidae","Centrolophus","niger","Centrolophus niger","bathypelagic","benthivorous",3.92,1.3,"non-guarder",NA,NA,66,0.24,74,12
"Centrolophidae","Schedophilus","medusophagus","Schedophilus medusophagus","pelagic","planktivorous",4,1.3,"non-guarder",6,NA,66,0.24,51,12
"Centrophoridae","Centrophorus","granulosus","Centrophorus granulosus","bathydemersal","piscivorous",4.11,360,"bearer",25,1,134,0.04,170,62
"Centrophoridae","Centrophorus","squamosus","Centrophorus squamosus","bathydemersal","generalist",4.47,390,"bearer",25,8,134,0.04,145,62
"Centrophoridae","Deania","calcea","Deania calcea","bathydemersal","piscivorous",4.33,315,"bearer",25,10,106,0.1,80,33.5
"Centrophoridae","Deania","profundorum","Deania profundorum","bathydemersal","piscivorous",4.36,315,"bearer",25,6,106,0.1,79,33.5
"Cepolidae","Cepola","macrophthalma","Cepola macrophthalma","demersal","planktivorous",3.13,0.72,"non-guarder",2.4,NA,68,0.2,73,6.5
"Ceratiidae","Cryptopsaras","couesii","Cryptopsaras couesii","bathypelagic","benthivorous",4.5,NA,"non-guarder",NA,NA,NA,NA,36,NA
"Ceratiidae","","","Ceratiidae","bathypelagic","benthivorous",3.66,NA,"non-guarder",NA,NA,NA,NA,30,NA
"Chaunacidae","Chaunax","pictus","Chaunax pictus","bathydemersal","",4.3,NA,"",NA,NA,NA,NA,40,NA
"Chiasmodontidae","Chiasmodon","niger","Chiasmodon niger","bathypelagic","piscivorous",4.2,NA,"non-guarder",NA,NA,NA,NA,25,NA
"Chimaeridae","Chimaera","monstrosa","Chimaera monstrosa","bathydemersal","benthivorous",3.52,135,"non-guarder",11,100,88,0.21,57,30
"Chimaeridae","Chimaera","opalescens","Chimaera opalescens","bathydemersal","benthivorous",3.52,135,"non-guarder",12,100,88,0.21,110,29
"Chimaeridae","Hydrolagus","mirabilis","Hydrolagus mirabilis","bathydemersal","generalist",3.94,150,"non-guarder",12,19,88,0.21,41,28
"Chlorophthalmidae","Chlorophthalmus","agassizi","Chlorophthalmus agassizi","bathydemersal","benthivorous",3.66,2,"non-guarder",3,8615,19,0.24,16,10
"Citharidae","Citharus","linguatula","Citharus linguatula","demersal","benthivorous",3.97,NA,"non-guarder",2,5086,27,0.26,30,6
"Clupeidae","Alosa","agone","Alosa agone","pelagic","generalist",3.89,1,"non-guarder",3,183974,45,0.29,34,5.5
"Clupeidae","Alosa","alosa","Alosa alosa","pelagic","generalist",2.95,1,"non-guarder",3.5,312500,70,0.32,65,10
"Clupeidae","Alosa","fallax","Alosa fallax","pelagic","generalist",4.03,1,"non-guarder",2.5,143750,52,0.33,43,25
"Clupeidae","Alosa","","Alosa","benthopelagic","generalist",3.89,1,"non-guarder",3.3,183974,45,0.29,52,5
"Clupeidae","Clupea","harengus","Clupea harengus","benthopelagic","planktivorous",3.38,1.2,"non-guarder",3.2,51555,25,0.32,26,18.7
