"Acantholabrus palloni","Agonus cataphractus","Alosa agone","Alosa alosa","Alosa fallax","Amblyraja hyperborea","Amblyraja radiata","Ammodytes","Anarhichas denticulatus","Anarhichas lupus","Anarhichas minor","Anguilla anguilla","Anisarchus medius","Anthias anthias","Aphanopus carbo","Apristurus laurussonii","Arctogadus glacialis","Arctozenus risso","Argentina silus","Argentina sphyraena","Argyropelecus aculeatus","Argyropelecus hemigymnus","Argyropelecus olfersii","Argyrosomus regius","Arnoglossus imperialis","Arnoglossus laterna","Arnoglossus rueppelii","Arnoglossus thori","Artediellus atlanticus","Aspidophoroides olrikii","Atherina presbyter","Auxis rochei rochei","Balistes capriscus","Bathyraja brachyurops","Bathyraja spinicauda","Bathysolea profundicola","Belone belone","Benthodesmus elongatus","Beryx decadactylus","Beryx splendens","Blennius ocellaris","Boops boops","Boreogadus saida","Brosme brosme","Buglossidium luteum","Callionymus lyra","Callionymus maculatus","Callionymus reticulatus","Careproctus","Centrolabrus exoletus","Centrophorus granulosus","Centrophorus squamosus","Centroscyllium fabricii","Centroscymnus coelolepis","Centroscymnus crepidater","Chelidonichthys cuculus","Chelidonichthys lastoviza","Chelidonichthys lucerna","Chelidonichthys obscurus","Chelon labrosus","Chelon ramada","Chimaera monstrosa","Chimaera opalescens","Chirolophis ascanii","Chlorophthalmus agassizi","Ciliata mustela","Ciliata septentrionalis","Clupea harengus","Coelorinchus caelorhincus","Coelorinchus labiatus","Conger conger","Coris julis","Coryphaenoides guentheri","Coryphaenoides rupestris","Ctenolabrus rupestris","Cyclopteropsis mcalpini","Cyclopterus lumpus","Cyclothone microdon","Dalatias licha","Dasyatis pastinaca","Deania calcea","Deania profundorum","Dentex maroccanus","Dicentrarchus labrax","Dicentrarchus punctatus","Dicologlossa cuneata","Diplodus annularis","Diplodus bellottii","Diplodus cervinus","Diplodus sargus","Diplodus vulgaris","Dipturus batis","Dipturus nidarosiensis","Dipturus oxyrinchus","Echiichthys","Enchelyopus cimbrius","Engraulis encrasicolus","Entelurus aequoreus","Ephippion guttifer","Etmopterus princeps","Etmopterus pusillus","Etmopterus spinax","Eumicrotremus derjugini","Eumicrotremus spinosus","Eutrigla gurnardus","Gadella maraldi","Gadiculus argenteus","Gadiculus thori","Gadus morhua","Gaidropsarus","Galeorhinus galeus","Galeus atlanticus","Galeus melastomus","Gasterosteus aculeatus","Glyptocephalus cynoglossus","Gnathophis mystax","Gobiidae","Gymnammodytes semisquamatus","Gymnelus retrodorsalis","Gymnelus viridis","Gymnocanthus tricuspis","Halargyreus johnsonii","Helicolenus dactylopterus","Heptranchias perlo","Hexanchus griseus","Hippocampus hippocampus","Hippoglossoides platessoides","Hippoglossus hippoglossus","Hoplostethus atlanticus","Hoplostethus mediterraneus mediterraneus","Hydrolagus mirabilis","Hymenocephalus italicus","Hyperoplus immaculatus","Hyperoplus lanceolatus","Icelus bicornis","Icelus spatula","Labrus bergylta","Labrus mixtus","Lamna nasus","Lampetra fluviatilis","Lepidion eques","Lepidopus caudatus","Lepidorhombus boscii","Lepidorhombus whiffiagonis","Lepidotrigla","Leptagonus decagonus","Leptoclinus maculatus","Lestidiops jayakari jayakari","Leucoraja circularis","Leucoraja fullonica","Leucoraja naevus","Limanda limanda","Liparis bathyarcticus","Liparis fabricii","Liparis liparis liparis","Liparis montagui","Liparis tunicatus","Lithognathus mormyrus","Lophius budegassa","Lophius piscatorius","Lumpenus fabricii","Lumpenus lampretaeformis","Lycenchelys kolthoffi","Lycenchelys muraena","Lycenchelys sarsii","Lycodes adolfi","Lycodes esmarkii","Lycodes eudipleurostictus","Lycodes frigidus","Lycodes gracilis","Lycodes luetkenii","Lycodes paamiuti","Lycodes pallidus","Lycodes polaris","Lycodes reticulatus","Lycodes rossi","Lycodes seminudus","Lycodes squamiventer","Lycodes vahlii","Lycodonus flagellicauda","Macroparalepis affinis","Macrourus berglax","Magnisudis atlantica","Malacocephalus laevis","Mallotus villosus","Maurolicus muelleri","Melanogrammus aeglefinus","Melanostigma atlanticum","Merlangius merlangus","Merluccius merluccius","Micrenophrys lilljeborgii","Microchirus azevia","Microchirus boscanion","Microchirus variegatus","Micromesistius poutassou","Microstomus kitt","Molva dypterygia","Molva macrophthalma","Molva molva","Monochirus hispidus","Mora moro","Mugil cephalus","Mullus barbatus barbatus","Mullus surmuletus","Mustelus","Myctophidae","Myliobatis aquila","Myoxocephalus quadricornis","Myoxocephalus scorpioides","Myoxocephalus scorpius","Naucrates ductor","Neoraja caerulea","Neoraja iberica","Nerophis lumbriciformis","Nerophis ophidion","Nezumia aequalis","Nezumia bairdii","Oblada melanura","Oncorhynchus gorbuscha","Ophidion barbatum","Osmerus eperlanus","Pagellus acarne","Pagellus bogaraveo","Pagellus erythrinus","Pagrus auriga","Pagrus pagrus","Parablennius gattorugine","Paralepis coregonoides","Paraliparis bathybius","Paraliparis membranaceus","Pegusa lascaris","Petromyzon marinus","Pholis gunnellus","Phrynorhombus norvegicus","Phycis blennoides","Phycis phycis","Physiculus dalwigki","Platichthys flesus","Pleuronectes platessa","Pollachius pollachius","Pollachius virens","Polymetme corythaeola","Polymetme thaeocoryla","Polyprion americanus","Raja asterias","Raja brachyura","Raja clavata","Raja microocellata","Raja miraletus","Raja montagui","Raja polystigma","Raja undulata","Rajella bathyphila","Rajella fyllae","Rajella lintea","Raniceps raninus","Reinhardtius hippoglossoides","Rhodichthys regina","Rostroraja alba","Salmo salar","Salmo trutta trutta","Sander lucioperca","Sarda sarda","Sardina pilchardus","Sarpa salpa","Scomber colias","Scomber japonicus","Scomber scombrus","Scophthalmus maximus","Scophthalmus rhombus","Scorpaenidae","Scyliorhinus canicula","Scyliorhinus stellaris","Scymnodon ringens","Sebastes","Serranus cabrilla","Serranus hepatus","Serranus scriba","Sigmops bathyphilus","Solea senegalensis","Solea solea","Somniosus microcephalus","Sparus aurata","Sphoeroides pachygaster","Spicara maena","Spicara smaris","Spinachia spinachia","Spondyliosoma cantharus","Spratelloides lewisi","Sprattus sprattus","Squalus acanthias","Squalus blainville","Symphodus bailloni","Symphodus melops","Symphodus roissali","Symphurus nigrescens","Synchiropus phaeton","Syngnathus acus","Syngnathus rostellatus","Syngnathus typhle","Taurulus bubalis","Tetronarce nobiliana","Thalassobathia pelagica","Torpedo marmorata","Trachinus draco","Trachurus mediterraneus","Trachurus picturatus","Trachurus trachurus","Trachyrincus murrayi","Trachyrincus scabrus","Trachyscorpia cristulata","Trachyscorpia echinata","Trigla","Triglops murrayi","Triglops nybelini","Triglops pingelii","Trisopterus capelanus","Trisopterus esmarkii","Trisopterus luscus","Trisopterus minutus","Umbrina canariensis","Umbrina cirrosa","Vinciguerria poweriae","Xiphias gladius","Zenopsis conchifer","Zeugopterus punctatus","Zeugopterus regius","Zeus faber","Zoarces viviparus"
0,0,0,0,0,0,0.0618875765048112,0,0.0517597239965691,0.41674484029399,0.274330069990507,0,0,0,0,0,0,0,0.00263964480165903,0,0,0,0,0,0,0,0,0,0.414903467134478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108099769598645,0.101723061808476,0,0,0,0,0.0162315641617822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00637609729440388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6928454329435,0.0455121734979968,0,0,0,0,0,0,0,0,0.0478679808992799,0,0,0,0,0,0,0,0.237877045837464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00677488290889244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266805265714503,0,0,0,0,0.00319048243562196,0,0,0,0,0,0,0,0,0,0,0,0.0081001147604412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10946832612531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392790947743266,0,0,0,0,0,0,0,0,0.0263835060027434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0082964240367482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31904810155762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123817314259022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0098545187883929,0,0,0.0268144428290982,0.00851225135101055,0,0,0,0,0,0,0,0.850024913119659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406624235464513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0871995847850884,0,0,0,0,0,0.00696838623620186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104725387566464,0,0,0,0,0,0,0,0,0,0,0.0290328718568495,0,0.0501465003733675,0.0117430160643321,0,0,0,0,0,0,0,0,0,0,0,0,0.0717790662408225,0,0,0,0.116961083601528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590392686149158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854295754134749,0,0,0,0,0,0,0,0,0,0.0123090234822558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401445263979032,0,0,0,0,0,0,0,0.514100327393304,0,0.053248348859835,0,0.120926452082854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924777810678011,0,0,0,0,0,0.133846820839997,0,0,0,0,0,0,0,0,0,0,0,0,0.223241441879437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74019915971496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929710964455438,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0725532660931391,0,0,0.220371365465342,0.0271044719873402,0,0,0,0,0,0,0,0.210909590879463,0,0,0,0,0,0,0,0,0,0.00431963711198129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153252235774243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381282700836618,0,0,0,0,0,0,0,0,0.00725779533170142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377098386251699,0.0173258638883196,0,0,0,0,0.0037340021359728,0,0,0,0,0,0,0,0,0,0,0,0.259783036191166,0,0,0,0,0,0,0,0.024147928357624,0,0,0,0,0,0,0,0,0.0324025104068301,0,0,0.00467127945806149,0,0,0,0,0,0,0,0,0,0,0,0,0.0308426662712871,0,0.0080255762380976,0,0,0,0,0,0,0,0.00612752016303479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201866106623703,0,0.106559213787508,0,0.0241975881386652,0,0,0,0,0,0.0225089559039719,0.0588278263804172,0.0712958045181706,0,0.139213539181346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369730567072306,0,0,0,0.00386272414413298,0,0.349664971157241,0,0,0,0,0,0,0,0,0,0,0,0,0.0709503432101041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89907284679518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689639532897147,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0183608958575016,0,0,0.116727900179237,0.0425147052715266,0,0,0,0,0,0,0,0.703146180735526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212069914210136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534840182500254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170101891713426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129578457718387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658182492781761,0,0,0,0.316111955348777,0.00933217666661477,0,0,0,0,0,0,0,0,0,0,0,0,0.0611520432100486,0,0,0.147572138850401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00931774366937413,0,0.0127700299778309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377037371664365,0.0286081642944184,0.173621374615589,0,0.00869756914502137,0,0,0,0,0,0.238043750156755,0.13048975974383,0.0988963745494481,0,0.251563311105627,0,0,0,0,0,0,0.0812824975756944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299220084691762,0,0,0,0,0,0.503734597286898,0,0,0,0,0,0,0,0,0,0,0,0,0.15319096953061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69504022645186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467092651747772,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.211934317058239,0,0.0013429594814319,0.261489369513217,0.0763039265768944,0,0,0,0,0,0,0,0.62277073597178,0.000819916218557382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340751710938032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113958654455859,0,0,0,0,0,0.119091584341904,0.00712309971438874,0,0,0,0,0,0,0,0.0146592512897903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128033355121698,0,0,0,0.040228760242794,0,0,0,0,0,0.00879278095298819,0,0,0.0609785055932185,0,0.0140676866961041,0,0.375504787235283,0.0100366419950085,0,0,0,0,0.139639348707049,0,0,0,0,0,0,0,0.0353529900638266,0,0,0,0.588969968060108,0.00605959052875902,0,0,0,0,0,0,0.013007894509899,0,0,0,0,0,0.130037184019864,0,0,0.0464625646856859,0,0,0.0247972842749507,0,0,0,0,0.0033750891635132,0,0,0,0,0,0,0,0.0498251930424308,0,0.132118789601039,0,0,0,0,0,0,0,0.0363143643513946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130130415508254,0,0.41058888001029,0,0.115794361528411,0,0,0,0,0,0.256946913502483,0.236053795634198,0.0839449470557164,0,0.175648857624725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050481868446658,0.0485242290306724,0,0,0,0.00548555294655235,0,0.303794608784497,0,0,0,0,0,0,0,0,0,0,0,0,0.0483755179147631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27713641150395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755908998137068,0,0,0,0.669363879312576,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.218811131024982,0.000574643928563532,0.00298121361582901,0.478780107416318,0.108990041329778,0,0,0,0,0,0,0,0.156883745357944,0,0,0,0,0,0,0,0,0,0.00042743064044143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249934218446428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000887516343670834,0.165759518231501,0,0,0,0,0,0,0,0,0.0219130963305418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011718114591032,0,0.000826606417702871,0,0,0,0,0,0,0.0176246314699242,0,0,0,0.431374282259632,0.0148883692421987,0,0,0,0,0.0369883882294515,0,0,0,0,0,0,0,0,0,0,0,0.618404910116355,0.00650351694564576,0,0,0,0,0,0,0.011750821750596,0,0,0,0,0,0,0,0,0.00431960452683489,0,0.00183554875404867,0.00560118198441882,0,0,0,0,0.00062648221276544,0,0,0,0,0,0,0,0.0253954482902764,0,0.0261834985532527,0,0,0.000741000768755826,0,0,0,0,0.052907107540656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511654136969177,0,0.587163489052175,0,0.111673921910214,0,0,0,0,0,0.0197627307917122,0.300995549890967,0.00592109367881431,0,0.180226175457869,0,0,0,0,0,0,0.000779721411097551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00344739649539213,0.00828220992985682,0,0,0,0.00922391926999215,0,0.219649063962077,0,0,0,0,0,0,0,0,0,0,0,0,0.0180407469415934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88125340978001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119176921285453,0,0,0,0.77953978680561,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.00587414460704441,0.099528360154921,0,0,0.489870415236366,0.232753508214288,0,0,0,0,0,0,0,0.291405897078494,0,0,0,0,0,0,0,0,0,0.00603002959359978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245396609022636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150748321287495,0,0,0,0,0,0,0,0,0.0451284069762996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580960599989359,0.00743531572486626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507879520455228,0.0160452034168409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137223830049224,0,0,0,0,0,0,0,0,0,0.0140268866931734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044237669584569,0,0.621477834409452,0,0.0350180718937858,0,0,0,0,0,0.012028386437713,0.192819848109581,0.0161332207280599,0,0.200652560669136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312575550867323,0,0.421744492107306,0,0,0,0,0,0,0,0,0,0,0,0,0.0126891235461802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94259177070235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239608392077249,0,0,0,0.647631253101968,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.12381119459071,0,0,0.175290375421651,0.0281046375523983,0,0,0,0,0,0,0,0.165417281689951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233391933653534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109917820158702,0,0,0,0,0,0.0299165353086352,0,0,0,0,0,0,0,0,0.0145253676915869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151107700347494,0,0,0,0,0,0,0,0,0.110495359849975,0,0,0,0.270331685911379,0,0,0,0,0,0.0389194420753591,0,0,0,0,0,0,0,0.00471710336288765,0,0,0,0.479668991145554,0.00434914184744232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211284839347263,0,0,0.00362489612503622,0,0,0,0,0.0138582867622236,0,0,0,0,0,0,0,0.0271433441955788,0,0.0150092565999644,0,0,0,0,0,0,0,0.0111170739318149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159634737412087,0,0.60857290806172,0,0.0431032456928805,0,0,0,0,0,0.0107375649772408,0.168939110877409,0.110328540723247,0,0.313858172071212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492109158410635,0,0,0,0,0,0,0,0,0,0,0,0,0.00436567251547713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4488965330973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00499152893205339,0,0,0,0.819612632096507,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.200241970594229,0.00195943311727455,0,0.200466381025844,0.0242460266692432,0,0,0,0,0,0,0,0.316418543184853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258117185685774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000842092527637074,0.153900515083103,0,0,0,0,0,0,0,0,0.037533030053418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061337990303686,0,0,0,0.19179893574158,0,0,0,0,0,0,0,0,0.06774407620903,0,0,0,0.401463881605073,0.00107073888242531,0,0,0,0,0.374977708410215,0,0,0,0,0,0,0,0,0,0,0,0.799130175692389,0.00390151478525229,0,0,0,0,0,0,0.0042024451620457,0,0,0,0,0,0.00140795970373695,0,0,0.0673748103615779,0,0,0.00924947844100585,0,0,0,0,0.0107124865794254,0,0,0,0,0,0,0,0.119448453836459,0,0.18292801490103,0,0,0.000780917057816089,0,0,0,0,0.0431851357645728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306918015077086,0,0.649541145372558,0,0.276224730063585,0,0,0,0,0,0.120546115297232,0.315449217669475,0.100420782810156,0,0.19190622659547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194779530278506,0.0170256255726071,0,0,0,0.0232490756985338,0,0.295488163158268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2036260312329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00808309343083352,0,0,0,0.777480935590997,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.162738430764961,0.00996501983527858,0,0.576398040911467,0.041032428232573,0,0,0,0,0,0,0,0.0698929389379125,0,0,0,0,0,0,0,0,0,0.000627260401923926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222604183168111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095924918069398,0,0,0.0107349853231672,0.148484983671692,0,0,0,0,0,0,0,0,0.0684268933627756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000738270989979396,0,0,0,0.0438022670980451,0,0.000357084909768265,0,0,0,0,0,0,0.00570223335224924,0,0,0,0.47311918758851,0.0131371786893733,0,0,0,0,0.0622426573758008,0,0,0,0,0,0,0,0.000676669334332437,0,0,0,0.590850305855501,0.0147442013018397,0,0,0,0,0,0,0.00584990621068596,0,0,0,0,0,0.000719037394497424,0,0,0.000498418105855129,0,0,0.00814838777935149,0,0,0,0,0.0205947443148747,0,0.00430944708793884,0.00593760730300205,0,0,0,0,0.0615870380193313,0,0.0607022882046691,0,0.000409304625918876,0,0,0,0.00176016993842387,0,0.0773317689455301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217912493432018,0,0.878612922756293,0,0.188296077924642,0,0,0,0,0,0.00269434287364764,0.437949688228529,0.00882002154228094,0,0.117861128579379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00749788545114995,0.00457385199910169,0,0,0,0.147051255090502,0,0.129857433276586,0,0,0,0,0,0,0,0,0,0,0,0,0.000563855487099022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8457124112532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173957921626548,0,0,0,0.444099420419571,0,0,0,0,0,0,0,0,0,0,0
